,,,,,,,,,,,,
,,,,,,,,,,,,
,MATRIZ PARA COMPROBACIÓN REQUERIMIENTOS DE CALIDAD DE PROYECTO ACADEMICO,,,,,,,,,,,
,,,,,,,,,,,,
,,SISTEMA:,SISTEMA DE GESTION DE PROYECTOS DE BIOSIGMA (SIMA),,,,,,,,,
,,,Requerimientos  Funcionales,,,,,,,,,
Nº,CRITERIOS DE CALIDAD (Documento/Requerimientos),,"Status
Nivel de Acuerdo","
RF05 Gestionar Datos de Proyectos
","Status
Nivel de Acuerdo",RF 10 Trazabilidad de  las Acciones del Sistema,"Status
Nivel de Acuerdo",RF 07 Gestión de las Actividades en una planificación,"Status
Nivel de Acuerdo",RF 04 Gestión de proyectos,,
,,,,,,,,,,,,
1,Agreed,,OK,"1. Videoconferencia de la entrevista
2. Aceptación por videoconferencia
3. Existencia de la acta de reunion",OK,"1. Videoconferencia de la entrevista
2. Minuta de la entrevista
3. Aceptación por videoconferencia",OK,"1. Videoconferencia de la entrevista
2. Acta de reunión de la entrevista
3. Aceptación por videoconferencia",OK,"1. Videoconferencia de la entrevista
2. Minuta de la entrevista
3. Aceptación por videoconferencia",,
2,Ranked,,OK,1. En el documento se especifica su prioridad y que tan necesario es para el sistema,OK,1. En el documento se especifica su prioridad y que tan necesario es,OK,"1. En la especificación se indica el nivel de prioridad, definido como Alto",OK,1. En el documento se especifica su prioridad y que tan necesario es,,
3,Unambiguos,,OK,1.  Redacción clara y coherente                                                                          ,OK,1.  Redacción en lenguaje claro.                                                                               2. El tutor y el equipo interpretan de igual manera el caso de uso ,OK,1.  Redacción clara y coherente,OK,1.  Redacción en lenguaje claro.                                                                               2. El tutor y el equipo interpretan de igual manera el caso de uso ,,
4,Valid and up-to date,,OK,1. Tras ciertas reuniones se realizaron cambios y se fueron validando con el cliente,NOK,1. Los cambios realizados han sido documentados y validados con el cliente,OK,1. Se han incorporado los últimos cambios solicitados por el cliente.,NOK,"1. Toda nueva información ha sido incorporada, se han incorporado los últimos cambios pedidos luego del feedback realizado por el cliente",,
5,Correct,,OK,1. Esta acorde a las necesidades del cliente,OK,                                                                                                                                                                                                                   1. Refleja lo que realmente necesita el cliente.,OK,"1. Se alinea con las funcionalidades del sistema pedidas por el cliente
2. Corresponde a una única funcionalidad",OK,1. Está alineado con los objetivos del sistema.                                                                                                                                                                                                                        2. Refleja lo que realmente necesita el cliente.,,
6,Consisten,,OK,"1. Documentación basada en modelos: Diagrama de Casos de Uso 
2. Usa términos definidos previamente.                                           ",NOK,"1. Documentación basada en modelos: Diagrama de Casos de Uso
2. Usa términos definidos previamente.                                             ",OK,"1.  Es consistente con el funcionamiento del sistema detallado en los casos de uso
2. Trabaja con elementos y conceptos detallados previamente",OK,"1. Documentación basada en modelos: Diagrama de Casos de Uso
2. Usa términos definidos previamente.                                             ",,
7,Verifiable,,NOK,"1. No se tienen casos de prueba para medir el requerimiento
2. Cuenta con la fuente del requerimieto asi con documentos que comprueban su validez",NOK,1. Requisito Medible                                                           2.  Falta Casos de Prueba,NOK,"1. Requisito Medible                                                           2.  Se indica una posible comparación, pero no se ha redactado un caso de prueba formal",NOK,1. Requisito Medible                                                           2.  Falta Casos de Prueba,,
8,Realizable,,OK,"1. Funcionalidad realizable
2. No se ha desarrollado",NOK,1. Es compatible con todas las funciones del sistema cumpliendo correctamente con su propósito,NOK,"1. Se ha desarrollado e implementado la funcionalidad en el sistema. 
2. No se toma en cuenta su costo o tiempo de desarrollo.",NOK,"1. Funcionalidad tomada en cuenta dentro de la estimación del costo del proyecto
2. No se ha desarrollado",,
9,Traceable,,NOK,"1. Es poco claro el origen y falta de distinción entre posibles versiones
2. Cuenta con un identificador único 
3. No proporsiona la versión o evolución del requerimiento",OK,"1. Es claro el origen del requisito y sus relaciones con otros requisitos (matriz de trazabilidad cliente/casos de uso y casos de uso/casos de uso) 
2. Cuenta con un identificador único",NOK,"1. Cuenta con un identificador único
2. Se detalla la fuente del requisito
3. No existe una matriz de trazabilidad, ni se relaciona al requisito con otros.
4. No se detalla la versión del requisito.",OK,"1. Es claro el origen del requisito y sus relaciones con otros requisitos (matriz de trazabilidad cliente/casos de uso y casos de uso/casos de uso) 
2. Cuenta con un identificador único",,
10,Complete,,NOK,"1. No contiene toda la información necesaria para generar el requerimiento y donde se guardara la información obtenida o creada
2. Describe en cierta medida la funcionalidad pero existen ciertos conceptos que no se describieron.",OK,"1. Contiene toda la información necesaria (entradas, salidas, precondiciones, postcondiciones) para entender y diseñar la función. 
2. Describe completamente la funcionalidad esperada.",NOK,"1. Describe la funcionalidad de manera clara y comprensible en su mayoría.
2. Presenta un ejemplo algo ambiguo sobre el uso de la funcionalidad.",NOK,"1. Contiene toda la información necesaria (entradas, salidas, precondiciones, postcondiciones) para entender y diseñar la función. 
2. Describe completamente la funcionalidad esperada.",,
11,Understandability,,OK,"1. Se involucra al cliente
2. Existe glosario de términos",OK,"1. Se involucra al cliente
2. Existe glosario de términos",OK,"1. Se involucra al cliente
2. Existe glosario de términos",OK,"1. Se involucra al cliente
2. Existe glosario de términos",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
